Booking date,Batch Name,Destination,Lead time Value,Event Type Value,Nights,NvcrAccountName,NvcrPrimarySupplier
9-Oct-18,RM_HOU_US,HOU,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_SAA_US,SAA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_SEA_US,SEA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_ATL_US,ATL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_FLL_US,FLL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_MSY_US,MSY,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
9-Oct-18,RM_MRY_US,MRY,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
9-Oct-18,RM_PHX_US,PHX,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_HAN_UK,HAN,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_SGN_UK,SGN,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
9-Oct-18,RM_BKK_UK,BKK,Early Booking(+180)/Free Event(09122018-11122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_CNX_UK,CNX,Early Booking(+180)/Free Event(09122018-12122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,3,,
9-Oct-18,RM_HHQ_UK,HHQ,Early Booking(+180)/Free Event(09122018-11122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_USM_UK,USM,Early Booking(+180)/Free Event(09122018-14122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,5,,
9-Oct-18,RM_KBV_UK,KBV,Early Booking(+180)/Free Event(09122018-12122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,3,,
9-Oct-18,RM_PYX_UK,PYX,Early Booking(+180)/Free Event(09122018-11122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,2,,
9-Oct-18,RM_HKT_UK,HKT,Early Booking(+180)/Free Event(09122018-12122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,3,,
9-Oct-18,RM_CAI_DE,CAI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
